Pred	Succ	NYT	Encycl	Brown	Web	Usenet
9	.	4988	2660	6	55608	56376
9	/	49	31	1	19899	42096
9	0	18353	8071	25	57921	59282
9	1	15499	6592	15	45471	50295
9	2	69685	6510	42	47267	53755
9	3	7569	6282	25	129295	45040
9	4	7421	6594	56	206609	50139
9	5	9901	6423	132	73242	53891
9	6	9009	7393	146	76332	61102
9	7	10047	7345	5	75101	58292
9	8	19334	10179	8	144965	70440
9	9	41880	4338	12	292417	163042
9	:	385	496	0	13061	22183
9	;	116	158	0	3901	1347
9	<	0	7	0	0	638
9	=	0	10	0	81	1933
9	>	0	17	0	11	0
9	?	5	27	0	87	423
9	@	0	15	0	199	21858
9	A	15	15	0	513	3189
9	B	6	10	0	489	2773
9	C	3	15	0	1186	3246
9	D	5	12	0	278	2638
9	E	5	11	0	330	2904
9	F	4	21	0	1006	2785
9	G	3	19	0	129	432
9	H	2	10	0	107	217
9	I	1	13	0	181	572
9	J	3	21	0	118	245
9	K	0	14	0	343	273
9	L	2	11	0	264	352
9	M	6	21	0	383	389
9	N	19	10	0	278	615
9	O	2	10	0	137	309
9	P	4	15	0	234	276
9	Q	1	13	0	34	220
9	R	2	16	0	292	666
9	S	3	20	0	519	368
9	T	49	25	0	630	473
9	U	2	15	0	315	205
9	V	0	8	0	118	373
9	W	4	14	0	217	348
9	X	0	17	0	77	216
9	Y	1	21	0	67	233
9	Z	0	23	0	40	194
9	[	0	14	0	97	13
9	\	0	14	0	7	25
9	]	21	21	0	4569	1008
9	^	0	12	0	2	10
9	_	0	17	0	18407	1167
9	`	0	15	0	6	30
9	a	2	7	0	739	5814
9	b	1	13	0	210	4660
9	c	0	16	0	318	5208
9	d	0	14	0	145	4103
9	e	110	18	1	453	5283
9	f	0	15	0	267	3968
9	g	0	15	0	109	1678
9	h	0	11	0	78	1443
9	i	0	24	0	100	1384
9	j	0	22	0	66	1380
9	k	0	19	0	329	1635
9	l	0	17	0	55	1605
9	m	458	14	0	271	1860
9	n	0	13	0	87	1408
9	o	0	9	0	440	1240
9	p	0	13	0	2048	2391
9	q	0	14	0	57	1295
9	r	1	21	0	224	1281
9	s	1	16	0	160	1905
9	t	978	2138	6	4566	6692
9	u	0	12	0	136	1237
9	v	0	13	0	163	6913
9	w	4	18	0	69	284
9	x	0	17	0	266	840
9	y	0	18	0	148	260
9	z	0	13	0	32	117
9	{	0	9	0	2	0
9	|	0	9	0	80	28
9	}	0	11	0	95	48
9	~	0	14	0	3	25
:	!	0	12	0	44	142
:	"	3	11	0	2642	1702
:	#	0	11	0	7502	719
:	$	0	14	0	132	187
:	%	0	4	0	96	745
:	&	0	16	0	0	497
:	'	1	22	0	774	324
:	(	0	11	0	1077	1921
:	)	2	18	0	1557	17340
:	*	0	10	0	834	1189
:	+	0	17	0	104	484
:	,	4	8	0	82	276
:	-	0	12	0	2034	21519
:	.	0	7	0	566	1699
:	/	0	11	0	64509	288347
:	0	350	37	24	28602	40172
:	1	576	49	2	22897	50037
:	2	350	44	13	15823	50146
:	3	2059	31	92	20715	74884
:	4	548	34	6	14852	37693
:	5	359	27	1	13738	37095
:	6	13	26	0	876	4751
:	7	0	26	0	930	4421
:	8	0	25	0	2693	5547
:	9	2	15	0	1379	4489
:	:	0	11	0	9156	20871
:	;	0	16	0	60	605
:	<	0	11	0	0	39378
:	=	0	5	0	1448	961
:	>	0	6	0	719	0
:	?	0	9	0	26	66
:	@	0	10	0	7	144
:	A	2	14	0	2566	1626
:	B	1	9	0	1582	2886
:	C	1	17	0	1772	2035
:	D	0	14	0	3026	2499
:	E	1	11	0	1005	1123
:	F	1	9	0	1329	1446
:	G	0	9	0	527	1116
:	H	0	17	0	805	1367
:	I	2	22	0	1374	1921
:	J	1	15	0	216	1171
:	K	0	18	0	608	865
:	L	0	10	0	584	1627
:	M	0	16	0	1016	2836
:	N	0	14	0	675	1605
:	O	0	17	0	426	1775
:	P	0	20	0	1530	2530
:	Q	0	16	0	281	867
:	R	1	12	0	1473	1267
:	S	0	20	0	1726	1834
:	T	2	33	0	1968	1669
:	U	1	21	0	823	1726
:	V	0	25	0	714	1081
:	W	0	18	0	720	1353
:	X	0	14	0	161	3549
:	Y	0	23	0	271	1235
:	Z	0	12	0	31	861
:	[	0	13	0	346	57
:	\	0	9	0	728	2538
:	]	0	23	0	588	379
:	^	0	12	0	5	441
:	_	0	14	0	393	1313
:	`	0	11	0	17	32
:	a	0	8	0	8374	12794
:	b	0	15	0	3735	18128
:	c	0	15	0	5938	4304
:	d	0	9	0	3186	3515
:	e	0	12	0	2706	3103
:	f	0	11	0	1426	3299
:	g	0	15	0	576	1593
:	h	0	16	0	6585	3334
:	i	0	28	0	1581	2135
:	j	0	14	0	237	1642
:	k	0	23	0	279	1559
:	l	0	18	0	9224	1937
:	m	0	14	0	1425	2502
:	n	0	19	0	7283	3041
:	o	0	13	0	518	4321
:	p	0	13	0	1872	7204
:	q	0	14	0	32	1354
:	r	0	18	0	5612	2157
:	s	0	15	0	4616	3470
:	t	0	17	0	2981	2965
:	u	0	15	0	1705	3199
:	v	0	15	0	6354	7946
:	w	0	22	0	1134	1914
:	x	0	11	0	508	730
:	y	0	13	0	450	1155
:	z	0	9	0	39	835
:	{	0	11	0	35	10
:	|	0	8	0	23	18515
:	}	0	8	0	4	336
:	~	0	9	0	27	64
;	!	0	15	0	7205	667
;	"	10	10	0	3955	4110
;	#	0	7	0	100	96
;	$	0	13	0	286	416
;	%	0	14	0	158	388
;	&	0	12	0	0	28373
;	'	0	21	0	1849	487
;	(	0	13	0	1373	190
;	)	0	19	0	1432	5140
;	*	0	18	0	459	37
;	+	0	10	0	26	351
;	,	6	8	0	502	658
;	-	0	9	0	762	8895
;	.	0	13	0	456	583
;	/	1	13	0	3918	442
;	0	0	7	0	270	645
;	1	1	13	0	1284	362
;	2	0	4	0	921	347
;	3	1	10	0	456	273
;	4	0	12	0	336	161
;	5	0	12	0	299	162
;	6	1	18	0	228	275
;	7	0	14	0	170	171
;	8	0	12	0	130	70
;	9	0	15	0	139	81
;	:	0	11	0	88	310
;	;	0	10	0	349791	3554
;	<	0	15	0	0	14667
;	=	0	9	0	36	3877
;	>	0	11	0	45	0
;	?	0	10	0	68	46
;	@	0	9	0	22	95
;	A	4	18	0	3540	517
;	B	3	9	0	2227	446
;	C	4	10	0	3800	572
;	D	2	19	0	3054	550
;	E	3	13	0	1521	244
;	F	3	8	0	1894	553
;	G	0	9	0	1290	303
;	H	1	17	0	2057	297
;	I	3	15	0	1924	764
;	J	2	12	0	684	189
;	K	0	18	0	669	73
;	L	2	11	0	2026	168
;	M	3	17	0	2360	408
;	N	1	14	0	1857	223
;	O	0	15	0	2064	179
;	P	5	8	0	3199	442
;	Q	0	10	0	170	27
;	R	3	8	0	1844	224
;	S	5	14	0	3732	576
;	T	4	39	0	3064	750
;	U	3	14	0	977	133
;	V	1	18	0	558	521
;	W	0	19	0	2069	540
;	X	0	13	0	95	135
;	Y	0	14	0	224	154
;	Z	0	20	0	115	23
;	[	0	10	0	1176	490
;	\	0	18	0	246	69
;	]	0	12	0	192	152
;	^	0	14	0	7	175
;	_	0	11	0	669	46
;	`	0	11	0	4	79
;	a	0	9	0	2764	738
;	b	0	11	0	3464	442
;	c	0	6	0	2460	1264
;	d	1	8	0	18599	666
;	e	0	9	0	1402	315
;	f	2	15	0	10150	560
;	g	0	14	0	445	117
;	h	0	13	0	868	362
;	i	0	12	0	8843	1460
;	j	0	18	0	478	264
;	k	0	16	0	188	233
;	l	1	6	0	1766	486
;	m	0	19	0	3201	312
;	n	0	17	0	1120	481
;	o	0	10	0	526	1405
;	p	0	3	0	2263	717
;	q	0	9	0	290	201
;	r	0	13	0	1107	1002
;	s	1	11	0	2139	3004
;	t	1	18	0	5058	1598
;	u	0	14	0	351	408
;	v	0	13	0	5109	375
;	w	0	11	0	1330	446
;	x	0	14	0	201	37
;	y	0	12	0	667	85
;	z	0	7	0	72	164
;	{	0	14	0	8	20
;	|	0	11	0	146	173
;	}	0	12	0	59096	608
;	~	0	13	0	31	1320
<	!	0	11	0	0	10104
<	"	0	11	0	0	805
<	#	0	14	0	0	133
<	$	0	9	0	0	245
<	%	0	11	0	0	630
<	&	0	15	0	0	69
<	'	0	23	0	0	5051
<	(	0	14	0	0	343
<	)	0	13	0	0	164
<	*	0	20	0	0	249
<	+	0	14	0	0	451
<	,	0	12	0	0	57
<	-	0	8	0	0	9763
<	.	0	12	0	0	521
<	/	0	10	0	0	175140
<	0	1	13	0	0	1094
<	1	0	10	0	0	3251
<	2	3	6	0	0	5873
<	3	0	14	0	0	16020
<	4	0	23	0	0	1760
<	5	0	15	0	0	1519
<	6	0	13	0	0	1298
<	7	0	13	0	0	1732
<	8	0	16	0	0	1892
<	9	0	16	0	0	1887
<	:	0	12	0	0	204
<	;	0	5	0	0	39
<	<	0	10	0	0	21532
<	=	0	11	0	0	3617
<	>	0	11	0	0	0
<	?	0	9	0	0	170
<	@	0	13	0	0	179
<	A	0	28	0	0	15528
<	B	0	7	0	0	54177
<	C	18	13	0	0	4842
<	D	0	13	0	0	23757
<	E	0	15	0	0	1742
<	F	0	18	0	0	28093
<	G	0	11	0	0	2600
<	H	6	18	0	0	7225
<	I	11	20	0	0	7224
<	J	0	11	0	0	2157
<	K	0	12	0	0	1241
<	L	1	14	0	0	2463
<	M	0	16	0	0	8952
<	N	0	21	0	0	3750
<	O	0	6	0	0	2696
<	P	3	12	0	0	14377
<	Q	0	5	0	0	448
<	R	0	19	0	0	2875
<	S	3	19	0	0	14734
<	T	2	34	0	0	17313
<	U	0	10	0	0	1506
<	V	0	18	0	0	814
<	W	0	8	0	0	1306
<	X	0	9	0	0	1940
<	Y	1	21	0	0	1146
<	Z	0	9	0	0	521
<	[	0	11	0	0	58
<	\	0	17	0	0	155
<	]	0	10	0	0	26
<	^	0	15	0	0	1054
<	_	0	13	0	0	574
<	`	0	14	0	0	75
<	a	0	12	0	0	33009
<	b	0	15	0	0	52181
<	c	8	17	0	0	17599
<	d	0	11	0	0	21079
<	e	3	17	0	0	8085
<	f	0	7	0	0	17265
<	g	0	18	0	0	12864
<	h	6	10	0	0	15234
<	i	0	13	0	0	16188
<	j	0	15	0	0	20594
<	k	0	15	0	0	7740
<	l	0	13	0	0	8718
<	m	0	15	0	0	18100
<	n	0	12	0	0	19703
<	o	0	11	0	0	7988
<	p	0	12	0	0	23951
<	q	0	6	0	0	1548
<	r	0	16	0	0	18484
<	s	0	10	0	0	36708
<	t	0	8	0	0	40473
<	u	9	14	0	0	3795
<	v	0	14	0	0	6051
<	w	3	11	0	0	7663
<	x	0	16	0	0	2373
<	y	0	7	0	0	2362
<	z	0	14	0	0	1459
<	{	0	21	0	0	75
<	|	0	3	0	0	364
<	}	0	16	0	0	799
<	~	0	9	0	0	29
=	!	0	8	0	19	141
=	"	0	12	0	48538	68736
=	#	0	5	0	192	609
=	$	0	8	0	340	681
=	%	0	14	0	56	3169
=	&	0	17	0	0	3812
=	'	0	21	0	15182	1279
=	(	0	12	0	1726	204
=	)	0	14	0	96	513
=	*	0	25	0	30	430
=	+	0	19	0	40	2214
=	,	0	19	0	40	115
=	-	0	18	0	1369	28356
=	.	0	19	0	193	717
=	/	0	12	0	1043	5070
=	0	0	10	0	15003	11854
=	1	3	27	0	5240	17212
=	2	0	10	0	1683	108356
=	3	0	17	0	1631	551963
=	4	0	16	0	2354	3285
=	5	0	14	0	1147	5684
=	6	0	16	0	636	2100
=	7	0	11	0	288	2250
=	8	0	16	0	300	5053
=	9	0	13	0	120	9213
=	:	0	16	0	46	434
=	;	0	13	0	11	771
=	<	0	9	0	0	175
=	=	0	10	0	42931	709446
=	>	0	317	0	209	0
=	?	0	5	0	20	107
=	@	0	13	0	19	158
=	A	0	23	0	198	62946
=	B	0	13	0	86	10973
=	C	0	16	0	259	18134
=	D	0	12	0	181	4356
=	E	0	7	0	143	10426
=	F	0	11	0	136	2618
=	G	0	9	0	82	704
=	H	0	10	0	61	1048
=	I	0	21	0	120	1623
=	J	0	18	0	51	532
=	K	0	11	0	38	214
=	L	0	16	0	93	488
=	M	1	13	0	1154	678
=	N	0	9	0	76	964
=	O	0	17	0	48	780
=	P	0	10	0	398	1163
=	Q	0	9	0	10	390
=	R	0	8	0	135	717
=	S	0	25	0	256	1023
=	T	0	68	0	160	1241
=	U	0	11	0	286	4565
=	V	0	7	0	38	204
=	W	0	12	0	108	563
=	X	0	14	0	18	411
=	Y	0	17	0	64	415
=	Z	0	14	0	8	138
=	[	0	12	0	48	108
=	\	0	14	0	70	214
=	]	0	18	0	5	66
=	^	0	9	0	0	213
=	_	0	11	0	642	6602
=	`	0	13	0	61	102
=	a	0	4	0	678	2263
=	b	0	11	0	347	1159
=	c	0	22	0	554	1256
=	d	0	9	0	9870	1306
=	e	0	13	0	969	4169
=	f	0	10	0	1354	1129
=	g	0	10	0	189	1759
=	h	0	24	0	1123	1413
=	i	0	23	0	1121	1286
=	j	0	17	0	74	232
=	k	0	20	0	17	674
=	l	0	20	0	908	1665
=	m	0	15	0	952	1091
=	n	0	10	0	14275	3283
=	o	0	17	0	245	3537
=	p	0	7	0	1519	838
=	q	0	7	0	138	231
=	r	0	14	0	347	776
=	s	0	16	0	1349	3040
=	t	0	15	0	2941	2359
=	u	0	14	0	371	3053
=	v	0	10	0	166	382
=	w	0	14	0	1225	1576
=	x	0	13	0	420	114
=	y	0	9	0	3232	357
=	z	0	14	0	42	66
=	{	0	17	0	20	752
=	|	0	12	0	133	37
=	}	0	11	0	4	126
=	~	0	8	0	41	312
>	!	0	12	0	178	0
>	"	0	10	0	377	0
>	#	0	14	0	38	0
>	$	0	12	0	65	0
>	%	0	12	0	30	0
>	&	0	13	0	0	0
>	'	0	21	0	149	0
>	(	0	9	0	167	0
>	)	0	26	0	55	0
>	*	0	18	0	42	0
>	+	0	16	0	14	0
>	,	0	8	0	52	0
>	-	0	5	0	602	0
>	.	2	10	0	83	0
>	/	0	17	0	236	0
>	0	0	8	0	474	0
>	1	0	17	0	90	0
>	2	0	8	0	102	0
>	3	0	17	0	50	0
>	4	0	8	0	55	0
>	5	0	19	0	10	0
>	6	0	16	0	12	0
>	7	0	13	0	28	0
>	8	0	12	0	2	0
>	9	0	15	0	5	0
>	:	0	14	0	16	0
>	;	0	12	0	23	0
>	<	6	10	0	0	0
>	=	0	12	0	1958	0
>	>	0	9	0	5656	0
>	?	0	9	0	5	0
>	@	0	12	0	2	0
>	A	10	38	0	418	0
>	B	4	13	0	132	0
>	C	0	18	0	451	0
>	D	10	13	0	136	0
>	E	0	13	0	114	0
>	F	5	12	0	128	0
>	G	1	17	0	139	0
>	H	0	14	0	201	0
>	I	0	19	0	422	0
>	J	0	10	0	55	0
>	K	0	11	0	24	0
>	L	2	13	0	67	0
>	M	4	10	0	97	0
>	N	0	14	0	90	0
>	O	0	14	0	114	0
>	P	2	13	0	158	0
>	Q	0	7	0	16	0
>	R	4	22	0	108	0
>	S	3	21	0	198	0
>	T	3	67	0	320	0
>	U	0	10	0	59	0
>	V	0	17	0	17	0
>	W	0	17	0	94	0
>	X	0	14	0	9	0
>	Y	0	10	0	44	0
>	Z	2	11	0	14	0
>	[	0	12	0	123	0
>	\	0	12	0	15	0
>	]	0	12	0	42	0
>	^	0	5	0	0	0
>	_	0	11	0	4	0
>	`	0	9	0	3	0
>	a	0	10	0	242	0
>	b	0	9	0	119	0
>	c	0	11	0	208	0
>	d	2	8	0	149	0
>	e	0	11	0	76	0
>	f	0	8	0	292	0
>	g	0	12	0	32	0
>	h	0	14	0	131	0
>	i	0	17	0	144	0
>	j	0	11	0	13	0
>	k	0	13	0	23	0
>	l	0	12	0	43	0
>	m	0	12	0	111	0
>	n	0	9	0	69	0
>	o	0	9	0	134	0
>	p	0	8	0	189	0
>	q	0	8	0	30	0
>	r	0	11	0	137	0
>	s	0	11	0	229	0
>	t	0	14	0	368	0
>	u	0	11	0	65	0
>	v	0	12	0	34	0
>	w	0	13	0	134	0
>	x	0	12	0	33	0
>	y	0	18	0	46	0
>	z	0	14	0	10	0
>	{	0	10	0	3	0
>	|	0	15	0	33	0
>	}	0	11	0	12	0
>	~	0	12	0	8	0
?	!	15	6	0	434	5904
?	"	2800	13	0	8142	20076
?	#	0	5	0	95	173
?	$	0	5	0	258	981
?	%	0	5	0	100	296
?	&	0	10	0	0	496
?	'	449	16	0	1634	1570
?	(	0	8	0	208	213
?	)	107	148	0	2093	9720
?	*	0	11	0	57	92
?	+	0	24	0	3	44
?	,	61	18	0	1170	1702
?	-	1	9	0	150	238
?	.	3	11	0	330	3064
?	/	1	17	0	229	499
?	0	0	10	0	112	360
?	1	0	6	0	199	270
?	2	1	14	0	53	118
?	3	0	12	0	41	279
?	4	0	9	0	53	125
?	5	0	7	0	118	62
?	6	1	12	0	93	70
?	7	0	16	0	54	131
?	8	0	7	0	28	106
?	9	0	12	0	17	20
?	:	3	18	0	505	701
?	;	7	10	0	127	373
?	<	0	9	0	0	1476
?	=	0	7	0	24	1975
?	>	0	9	0	189	0
?	?	2	13	0	3079	62766
?	@	0	10	0	8	630
?	A	0	54	0	730	566
?	B	0	17	0	158	379
?	C	0	14	0	290	774
?	D	0	16	0	240	219
?	E	0	12	0	221	72
?	F	0	12	0	226	146
?	G	0	14	0	94	473
?	H	0	18	0	285	256
?	I	2	21	0	804	875
?	J	0	15	0	77	122
?	K	0	10	0	37	154
?	L	0	19	0	129	85
?	M	0	26	0	310	977
?	N	0	14	0	300	205
?	O	0	5	0	141	175
?	P	0	23	0	231	562
?	Q	0	11	0	33	98
?	R	0	8	0	122	248
?	S	0	26	0	476	1354
?	T	1	107	0	1007	327
?	U	0	93	0	214	63
?	V	0	12	0	55	8687
?	W	0	14	0	569	148
?	X	0	15	0	6	60
?	Y	0	11	0	184	52
?	Z	0	10	0	16	27
?	[	0	10	0	104	56
?	\	0	7	0	26	67
?	]	0	5	0	474	540
?	^	0	12	0	14	51
?	_	0	7	0	70	93
?	`	0	11	0	6	136
?	a	0	12	0	92	3224
?	b	0	7	0	94	681
?	c	0	8	0	271	3955
?	d	0	7	0	204	910
?	e	2	3	0	103	401
?	f	0	12	0	107	1319
?	g	0	14	0	123	216
?	h	0	7	0	107	1364
?	i	0	13	0	742	3777
?	j	0	6	0	9	92
?	k	0	12	0	48	159
?	l	0	7	0	403	742
?	m	0	8	0	237	460
?	n	0	10	0	112	1001
?	o	3	9	0	84	721
?	p	0	6	0	272	1781
?	q	0	14	0	43	4505
?	r	1	8	0	105	706
?	s	0	8	0	547	8801
?	t	1	7	0	329	3248
?	u	0	9	0	139	371
?	v	0	7	0	45	234
?	w	0	16	0	63	156
?	x	0	10	0	748	1417
?	y	0	9	0	69	43
?	z	0	14	0	5	49
?	{	0	13	0	4	1
?	|	0	6	0	13	5
?	}	0	13	0	2	55
?	~	0	15	0	3	36
@	!	0	7	0	38	785
@	"	0	6	0	179	209
@	#	0	9	0	30	310
@	$	0	10	0	83	1468
@	%	0	12	0	10	206
@	&	0	10	0	0	68
@	'	0	11	0	263	83
@	(	0	9	0	55	867
@	)	0	8	0	58	146
@	*	0	14	0	96	264
@	+	0	15	0	3	39
@	,	0	20	0	18	185
@	-	0	9	0	72	603
@	.	0	7	0	86	551
@	/	0	11	0	6	213
@	0	0	7	0	569	217
@	1	0	17	0	960	2759
@	2	0	10	0	553	2317
@	3	0	12	0	28	267
@	4	0	14	0	17	26486
@	5	0	12	0	35	152
@	6	0	13	0	6	958
@	7	0	14	0	9	236
@	8	0	8	0	59	352
@	9	0	9	0	22	359
@	:	0	7	0	7	176
@	;	0	17	0	23	184
@	<	0	7	0	0	176
@	=	0	6	0	5	126
@	>	0	10	0	1	0
@	?	0	3	0	8	91
@	@	0	9	0	374	6607
@	A	0	78	0	426	1748
@	B	0	21	0	65	677
@	C	0	36	0	271	897
@	D	0	10	0	141	965
@	E	0	10	0	119	391
@	F	0	10	0	203	815
@	G	0	19	0	31	3001
@	H	0	10	0	226	728
@	I	0	33	0	383	7229
@	J	0	13	0	35	262
@	K	0	12	0	23	447
@	L	0	20	0	123	656
@	M	0	34	0	106	2210
@	N	0	19	0	328	6255
@	O	0	17	0	38	381
@	P	0	23	0	101	760
@	Q	0	7	0	11	134
@	R	0	16	0	63	1641
@	S	0	30	0	178	2717
@	T	0	129	0	74	1556
@	U	0	8	0	163	361
@	V	0	18	0	16	214
@	W	0	25	0	112	1330
@	X	0	8	0	10	504
@	Y	0	21	0	13	512
@	Z	0	10	0	12	228
@	[	0	11	0	5	512
@	\	0	10	0	15	44
@	]	0	12	0	7	77
@	^	0	6	0	2	94
@	_	0	10	0	38	604
@	`	0	10	0	39	304
@	a	0	8	0	7245	39639
@	b	0	8	0	2771	27015
@	c	0	14	0	5960	40964
@	d	0	7	0	1312	12576
@	e	0	10	0	3819	26716
@	f	0	5	0	1392	11662
@	g	0	7	0	5282	9704
@	h	0	6	0	3286	45136
@	i	1	14	0	6842	14608
@	j	0	18	0	556	2551
@	k	0	14	0	947	4507
@	l	0	12	0	3984	8160
@	m	0	11	0	5175	35309
@	n	0	11	0	5299	100673
@	o	0	7	0	1899	7164
@	p	0	7	0	2822	45865
@	q	0	14	0	95	1332
@	r	0	9	0	937	14564
@	s	0	14	0	4273	39109
@	t	0	11	0	1721	21949
@	u	0	5	0	4813	6517
@	v	0	9	0	1073	7112
@	w	0	18	0	4471	18897
@	x	0	9	0	129	2554
@	y	0	9	0	945	31371
@	z	0	10	0	115	2886
@	{	0	6	0	9	10
@	|	0	13	0	4	20
@	}	0	10	0	2	400
@	~	0	7	0	7	125
A	!	2	18	0	219	5880
A	"	31	16	0	2064	1779
A	#	0	17	0	5	364
A	$	0	16	0	202	351
A	%	0	13	0	2878	820
A	&	53	15	0	0	1563
A	'	192	26	6	6454	3680
A	(	1	19	0	378	273
A	)	539	351	0	12997	5434
A	*	34	13	0	89	323
A	+	57	12	0	139	704
A	,	972	758	0	14766	11652
A	-	396	84	2	8402	5065
A	.	11541	1006	86	34917	26301
A	/	58	11	0	3888	3187
A	0	0	15	0	1048	60459
A	1	1999	26	1	2168	6320
A	2	481	27	0	1853	4551
A	3	264	20	0	26107	4368
A	4	68	26	0	627	3926
A	5	47	10	0	589	3381
A	6	128	16	0	454	3429
A	7	51	14	0	782	2594
A	8	149	20	0	281	2796
A	9	77	14	0	501	3797
A	:	59	9	0	12578	3520
A	;	633	11	0	646	506
A	<	0	9	0	0	7947
A	=	0	10	0	67	9718
A	>	0	7	0	48	0
A	?	5	8	0	312	1324
A	@	0	13	0	186	2345
A	A	334	343	10	21484	48950
A	B	1642	756	4	15075	23270
A	C	2209	2294	1	44983	38065
A	D	1770	2994	9	25910	48794
A	E	429	272	5	7523	9286
A	F	529	526	3	7872	12821
A	G	1291	1047	0	21433	19664
A	H	259	317	5	4759	45496
A	I	3575	1772	2	21783	25449
A	J	54	140	0	845	2020
A	K	561	611	0	4164	11887
A	L	6716	5045	0	46888	75664
A	M	3023	2971	19	33986	56294
A	N	16915	11646	0	74734	124075
A	O	46	88	4	4946	4473
A	P	2933	2462	9	29866	32051
A	Q	142	77	0	13422	10961
A	R	6380	5744	1	64125	95454
A	S	4931	2409	9	47573	53371
A	T	8874	7226	19	86452	70831
A	U	1039	897	0	7107	12132
A	V	1014	674	0	7418	15093
A	W	498	392	0	5535	8297
A	X	316	69	0	4969	3431
A	Y	1248	514	0	7635	15666
A	Z	298	175	0	1739	4111
A	[	0	16	0	169	37
A	\	0	6	0	16	80
A	]	0	13	0	1323	716
A	^	0	8	0	0	32
A	_	0	16	0	1374	1016
A	`	0	8	0	6	135
A	a	257	157	1	1494	1677
A	b	13557	2542	49	45631	25143
A	c	4650	3431	103	111830	49273
A	d	8809	2771	104	86953	37043
A	e	492	564	2	2496	2368
A	f	7984	7927	189	32187	44105
A	g	3157	3291	35	29134	30253
A	h	311	105	8	2027	9560
A	i	3079	1734	40	14179	19657
A	j	30	43	42	506	476
A	k	399	202	0	2027	3252
A	l	18502	12322	299	136635	143386
A	m	26750	14902	385	82961	187520
A	n	27570	10813	522	124388	236241
A	o	25	33	0	380	1378
A	p	5035	2826	55	100041	69741
A	q	230	287	0	1124	3310
A	r	14818	11566	242	108599	128142
A	s	15864	7877	273	111209	96435
A	t	10449	6007	173	47061	44424
A	u	5808	5535	98	56443	41432
A	v	3901	709	43	17536	8877
A	w	789	168	11	13800	7030
A	x	89	132	4	788	2919
A	y	302	141	0	844	2190
A	z	744	358	1	1156	2292
A	{	0	15	0	19	3
A	|	0	14	0	112	8
A	}	0	14	0	12	56
A	~	0	11	0	8	57
B	!	0	16	0	134	1637
B	"	16	14	0	372	1973
B	#	0	13	0	110	620
B	$	0	11	0	1010	3000
B	%	0	9	0	9514	1139
B	&	8	11	0	0	999
B	'	155	13	21	1543	2299
B	(	0	17	0	201	372
B	)	18	58	0	7113	1555
B	*	2	17	0	16	64
B	+	32	17	0	68	194
B	,	120	83	0	2501	2759
B	-	191	85	7	2833	2679
B	.	3443	756	37	14890	12445
B	/	8	11	0	2083	1062
B	0	0	9	0	577	4386
B	1	407	11	0	1990	4513
B	2	177	11	0	1771	3001
B	3	304	13	0	1342	6182
B	4	154	19	0	837	3529
B	5	164	15	0	416	3353
B	6	127	15	0	857	3183
B	7	170	18	0	222	2990
B	8	87	7	0	857	3183
B	9	120	24	0	524	3507
B	:	16	19	0	884	1779
B	;	3	11	0	362	415
B	<	0	11	0	0	4619
B	=	0	10	0	72	2774
B	>	0	6	0	70	0
B	?	0	14	0	148	566
B	@	0	9	0	54	2115
B	A	1810	1561	35	18924	28765
B	B	453	230	0	3845	20225
B	C	1534	3374	12	8879	20209
B	D	141	55	0	2303	4298
B	E	1845	1378	1	17976	34890
B	F	3	35	0	777	5583
B	G	15	24	4	1009	2293
B	H	23	37	0	1152	805
B	I	1135	2803	1	11788	22302
B	J	39	45	0	1772	1806
B	K	6	18	0	318	751
B	L	976	1959	0	11617	20286
B	M	177	121	8	5502	2841
B	N	33	41	0	5460	3618
B	O	1802	881	0	11821	27934
B	P	52	31	0	2506	4189
B	Q	0	10	0	236	836
B	R	1239	899	2	7733	55146
B	S	1478	178	1	19981	14334
B	T	45	209	7	1384	8926
B	U	1423	553	0	5784	11404
B	V	2	25	0	600	1017
B	W	60	52	0	774	2720
B	X	19	20	0	267	436
B	Y	242	177	0	2333	4660
B	Z	6	15	0	114	327
B	[	0	16	0	58	60
B	\	0	10	0	39	81
B	]	0	7	0	674	914
B	^	0	5	0	1	28
B	_	0	10	0	288	1001
B	`	0	11	0	1	57
B	a	20998	10082	261	93526	123503
B	b	94	19	0	139	1799
B	c	109	15	0	107	352
B	d	135	12	0	1156	542
B	e	19429	10673	398	94900	118467
B	f	109	13	0	61	244
B	g	95	11	0	395	738
B	h	113	138	0	737	1461
B	i	8413	3576	142	46177	71202
B	j	81	52	0	317	981
B	k	40	12	0	118	578
B	l	5411	2318	75	28141	49442
B	m	0	13	0	88	415
B	n	39	16	0	133	265
B	o	17923	7850	244	101407	93337
B	p	0	7	0	166	325
B	q	1	7	0	29	172
B	r	24879	11629	290	75514	104737
B	s	1	29	0	692	1394
B	t	5	16	0	587	672
B	u	46886	6262	533	92230	244375
B	v	0	13	0	138	224
B	w	1	19	0	129	1171
B	x	3	13	0	93	264
B	y	3356	3919	63	25562	29138
B	z	3	16	0	201	233
B	{	0	9	0	3	2
B	|	0	6	0	90	11
B	}	0	13	0	11	89
B	~	0	16	0	2	120
C	!	0	13	0	105	274
C	"	7	19	0	995	1649
C	#	0	8	0	130	587
C	$	0	16	0	105	1273
C	%	0	11	0	4271	665
C	&	18	22	0	0	390
C	'	467	13	3	5290	3131
C	(	0	17	0	330	456
C	)	2112	1674	0	11002	5671
C	*	0	21	0	24	78
